Day,Grande_Comore,Moheli,Anjouan
1,70159.55384,65889.10331,68757.54102
2,78314.56348,69029.58289,73287.44944
3,82092.70848,75259.4256,77678.34387
4,85163.26933,79077.91293,82256.04201
5,92022.46948,88263.07815,88401.35398
6,98725.47522,94937.28502,92731.08383
7,94380.86671,88638.08813,91920.38348
8,91773.8662,85157.20028,91538.50437
9,89342.45961,84615.03307,91076.09107
10,83617.90907,79925.68199,85057.33316
11,79161.2631,75483.49937,80354.08771
12,77058.23889,72649.6552,78872.49891
13,73425.36116,69929.37648,74933.10535
14,72148.44827,69420.2896,73133.65023
15,70569.94276,68360.67498,72522.65994
16,69175.38849,66568.64797,70680.54357
17,67419.70453,65153.81455,69183.51074
18,67634.121,66278.39861,69991.89422
19,69731.51491,67473.04378,71317.12083
20,70536.8294,68849.52072,72734.94016
21,69258.76106,69395.79811,73485.34103
22,71799.8305,69809.72697,79457.63586
23,69733.55468,68320.19925,79093.54846
24,70712.19229,68920.12762,79611.90059
25,68786.41543,67227.98225,75758.79124
26,67035.11867,65676.32802,72280.22289
27,65858.17226,64671.00801,70001.13816
28,64686.81398,63642.96864,67951.46684
29,63822.02041,62850.79993,66308.86943
30,63173.97581,62233.37046,64954.5723
31,62476.17098,61788.4203,63878.17862
32,63015.29418,62638.84245,64104.11885
33,64330.58414,63629.26868,65451.06812
34,67547.2738,63698.04042,68253.36831
35,70513.4535,63983.79283,68811.56497
36,71501.97666,64149.16918,73591.988
37,72037.1953,63617.8221,71495.51482
38,70530.62599,64171.55997,72206.53958
39,75199.04317,67072.7261,78146.14105
40,83086.33472,69068.54988,85645.96315
41,85107.81366,73142.53105,84312.95911
42,84448.61092,74300.9154,83441.42431
43,84499.03732,72540.98031,80226.15044
44,84067.01041,71261.26591,79235.90585
45,86756.07104,73158.57993,83105.77495
46,92756.56603,79008.22347,87621.25042
47,88910.51539,79407.20423,84327.7002
48,85100.56606,76631.78788,82704.17971
49,82170.97799,73474.65084,78482.56998
50,78225.40775,70672.63949,75306.62426
51,74548.30723,68329.62552,72394.13837
52,71429.95278,66730.54886,70200.72633
53,69180.44606,65298.91163,68879.43586
54,71402.5765,68977.66391,77338.74787
55,79918.67169,74445.20702,87718.48625
56,81082.92227,73495.01799,86323.63566
57,79224.8054,71152.56582,80979.57199
58,75882.15284,69172.19375,77272.48852
59,73016.60121,67361.27451,74057.28153
60,71694.5875,67582.69183,72526.60698
61,74154.31762,72016.96367,75850.63402
62,73850.35277,73262.90833,74705.87034
63,71980.00594,73664.94751,72561.7433
64,69867.69482,70755.39929,69990.86232
65,69925.13048,72371.02151,73408.445
66,68831.43169,72514.8734,72107.27927
67,67511.7894,70684.78243,71272.89997
68,68266.71324,69624.35756,70407.00305
69,67296.58852,68279.65075,69007.63767
70,65736.86847,66576.42951,67177.59674
71,64543.16585,65132.09354,65644.77491
72,66017.50208,68943.39852,66378.71202
73,67974.5009,76072.49159,70765.65004
74,74787.18079,77000.61735,76867.14987
75,80130.59039,78292.93041,84598.92202
76,80606.16619,75517.60546,82768.48476
77,81426.3807,75279.64592,84824.78408
78,82695.60164,75789.96887,83997.82247
79,79767.28226,75179.32914,81392.11545
80,75555.90066,72118.11517,77291.3048
81,73018.76666,69711.23612,74055.30679
82,70906.4243,68213.15789,73537.84435
83,69331.29885,66702.62835,71043.28317
84,67959.69395,65295.23319,68850.16238
85,66606.20331,64264.89707,67270.22536
86,65463.47105,63368.29618,66254.73545
87,65184.38158,62894.79722,65826.576
88,64968.10847,62948.93179,65499.91884
89,64381.30685,62513.11282,64747.03958
90,67174.50132,65514.21909,68334.38855
91,71530.94699,69602.59196,72471.55516
92,70249.57039,68135.06094,71029.01837
93,68167.66356,66383.56742,68887.31895
