Day,Grande_Comore,Moheli,Anjouan
1,88621.15158877574,84564.53153669447,86608.13313257799
2,95541.29546565741,86998.65730071728,90026.2430550518
3,98747.33789731441,91827.28943897513,93339.45790816695
4,101352.94155070641,94786.92606621729,96793.62827933196
5,107173.49284472347,101906.17226006175,101430.66503591537
6,112861.50134110847,107079.22256989118,104697.72724371692
7,109174.77167024395,102196.8353306628,104086.0012083401
8,106962.53411548122,99498.86562255214,103797.84863390669
9,104899.30130230082,99078.64216419568,103448.92778312118
10,100041.58621780729,95444.015678858,98907.38427658146
11,96259.78427007694,92000.96474124878,95358.48030804584
12,94475.20880684482,89804.50622630381,94240.52539351175
13,91392.43666755653,87696.07013506492,91267.99726009047
14,90308.8792783323,87301.48660764303,89910.19156930444
15,88969.39769725848,86480.199552422,89449.1597378426
16,87786.01267954687,85091.23362982179,88059.16336834626
17,86296.1817471052,83994.62326057746,86929.55493414936
18,86478.13038098597,84866.26689235099,87539.53273973765
19,88257.92810578491,85792.21354984856,88539.50223257393
20,88941.29850006726,86859.09454799126,89609.33894330783
21,87856.76063060662,87282.50372406222,90175.5651060734
22,90013.050677628,87603.33207821003,94682.04920358202
23,88259.6590082931,86448.82758202172,94407.3216254031
24,89090.10720161899,86913.82061172668,94798.45195512044
25,87455.93955475438,85602.27103889582,91891.0308530017
26,85969.83149491134,84399.61347449664,89266.22524785061
27,84971.10324692675,83620.40912626192,87546.5078892297
28,83977.11695263108,82823.59544029328,85999.89783877812
29,83243.27405199046,82209.60059743458,84760.45147993349
30,82693.35908048967,81731.04280441163,83738.54638875494
31,82101.21878028623,81386.17043042509,82926.33748854097
32,82558.70569106356,82045.31639961447,83096.82406297511
33,83674.82892272339,82812.9768629239,84113.18471199562
34,86404.43394648905,82866.28052043183,86227.70209506564
35,88921.46227209267,83087.76176002929,86648.89770284931
36,89760.29911182747,83215.94181365796,90256.03716469498
37,90214.47269801599,82804.10483443958,88674.1120728967
38,88936.03443313732,83233.29648320944,89210.62641084507
39,92897.54030314577,85481.93496382047,93692.44124067626
40,99590.50508274182,87028.8598728575,99351.54381097664
41,101305.88320391774,90186.52489444042,98345.7057426431
42,100746.4997127869,91084.36648627403,97688.07616884506
43,100789.29033288312,89720.27439441207,95261.94333608513
44,100422.68275099306,88728.39219696927,94514.73951632717
45,102704.55454275948,90198.96407286801,97434.80693686279
46,107796.42941032756,94732.91109654012,100842.02626908523
47,104532.76389182248,95042.15346715093,98356.82884770707
48,101299.73306866584,92890.9812388195,97131.77726373453
49,98813.75551179537,90443.94460062135,93946.29870362842
50,95465.64006409208,88272.15910294357,91549.84151974473
51,92345.34152785364,86456.13370559801,89352.18187381263
52,89699.18139221224,85216.71991496877,87697.11012015743
53,87790.304408619,84107.08523529129,86700.11069495814
54,89675.95053728645,86958.41589091142,93083.21068565648
55,96902.50287922306,91196.20416132377,100915.39700873494
56,97890.45775561866,90459.73078895536,99862.89170341154
57,96313.70473221676,88644.14083810982,95830.44879613337
58,93477.21064036245,87109.19225673893,93033.21370340275
59,91045.57285757882,85705.58332376063,90607.13133993772
60,89923.74400860105,85877.19966205189,89452.13803875758
61,92011.01147689931,89314.11910684242,91960.33219042639
62,91753.07425808987,90279.82702378416,91096.53369599079
63,90165.94319367147,90591.43991576624,89478.6506714087
64,88373.48707838797,88336.30463944399,87538.75409926032
65,88422.22559289931,89588.5425800578,90117.54206155254
66,87494.13925910051,89700.03942767545,89135.72806382737
67,86374.32273899704,88281.57086106742,88506.13472234509
68,87014.93284651145,87459.65579251529,87852.75929501455
69,86191.70848466188,86417.39921336794,86796.84728142973
70,84868.16778601121,85097.26495306035,85415.9626220698
71,83855.22061824895,83977.78771475937,84259.34905742972
72,85106.30667720146,86931.85744305851,84813.15224822513
73,86766.96852341045,92457.48136446583,88123.38172756624
74,92548.04384986093,93176.85391832545,92727.35938278941
75,97082.33195928126,94178.50110065451,98561.48331614444
76,97485.89407373835,92027.39971638774,97180.29959959122
77,98181.90826965994,91842.96182015538,98731.91090326288
78,99258.9384482667,92238.50339539378,98107.9146922727
79,96774.03747021404,91765.20820240419,96141.73961732081
80,93200.36093641738,89392.51969937148,93047.4118068065
81,91047.41040639607,87526.99370222438,90605.64127032479
82,89254.9277868685,86365.86187322486,90215.1822703152
83,87918.31443951082,85195.07926643151,88332.8739437298
84,86754.40370352865,84104.23414860136,86678.02195570998
85,85605.86429522616,83305.64028724766,85485.85692625272
86,84636.16934536758,82610.70205911776,84719.60387597918
87,84399.3407746029,82243.70205707286,84396.52978296093
88,84215.81664546896,82285.66072405453,84150.04574830302
